sequence_no,time,latitude,longitude,ax,ay,az,baro_alt
2,3221,29.862442,77.894464,0.079,0.129,0.959,0
3,3721,29.862442,77.894464,0.097,0.113,0.963,-0.26
4,4221,29.862442,77.894463,0.098,0.122,0.972,-0.35
5,4721,29.862442,77.894463,0.102,0.125,0.964,0.09
6,5221,29.862441,77.894462,0.084,0.124,0.967,-0.17
7,5721,29.862441,77.894462,0.07,0.127,0.963,0.26
8,6221,29.862441,77.894461,0.091,0.125,0.953,-0.17
9,6721,29.862441,77.894461,0.202,0.168,0.95,0.26
10,7221,29.862443,77.894461,0.396,0.05,0.991,0
11,7721,29.862443,77.894461,0.19,0.016,1.162,0.43
12,8221,29.862444,77.894461,0.137,0.053,0.929,0.09
13,8721,29.862444,77.894461,0.179,0.073,0.976,0.61
14,9221,29.862447,77.894461,0.181,0.105,1.108,-0.17
15,9721,29.862447,77.894461,0.279,0.027,0.946,-0.17
16,10221,29.862449,77.894461,0.225,0.046,0.965,0.78
17,10721,29.862449,77.894461,0.226,0.078,0.956,-0.09
18,11221,29.862451,77.894461,0.498,-0.037,0.911,-0.09
19,11721,29.862451,77.894461,0.327,-0.019,0.955,-0.09
20,12221,29.862452,77.894461,0.225,-0.13,0.943,0.26
21,12721,29.862452,77.894461,0.254,0.011,0.964,-0.09
22,13221,29.862454,77.894461,0.237,-0.014,0.936,-0.17
23,13721,29.862454,77.894461,0.251,0.038,0.946,-0.09
24,14221,29.862455,77.894461,0.228,0.029,0.954,0.09
25,14721,29.862455,77.894461,0.433,-0.138,0.868,0.43
26,15221,29.862455,77.894463,0.388,-0.106,1,0.35
27,15721,29.862455,77.894463,0.507,-0.215,0.604,0.43
28,16221,29.862458,77.894464,0.661,-0.438,0.667,0
29,16721,29.862458,77.894464,0.32,-0.311,0.729,0.26
30,17221,29.862458,77.894467,0.32,-0.227,1.079,0.09
31,17721,29.862458,77.894467,0.347,-0.11,0.95,0.09
32,18221,29.86246,77.89447,0.277,-0.111,0.939,0.26
33,18721,29.86246,77.89447,0.308,-0.139,0.968,0.17
34,19221,29.862462,77.89447,0.335,-0.299,0.915,0.61
35,19721,29.862462,77.89447,0.324,-0.169,0.956,0.17
36,20221,29.862463,77.894471,0.191,-0.107,0.792,0.69
37,20721,29.862463,77.894471,0.25,0.027,0.934,0.35
38,21221,29.862464,77.894472,0.194,-0.126,0.909,0.78
39,21721,29.862464,77.894472,0.184,0.181,0.999,0.35
40,22221,29.862464,77.894473,0.205,-0.059,0.938,0.26
41,22721,29.862464,77.894473,0.283,0.205,0.987,0.26
42,23221,29.862465,77.894476,0.291,0.086,1.073,0
43,23721,29.862465,77.894476,0.197,-0.191,0.924,0.52
44,24221,29.86247,77.894477,0.159,-0.029,0.938,0.26
45,24721,29.86247,77.894477,0.238,0.14,0.881,0.52
46,25221,29.862474,77.894477,0.22,-0.025,0.96,0.09
47,25721,29.862474,77.894477,0.21,-0.012,0.94,0.26
48,26221,29.862475,77.894479,0.246,-0.007,0.952,-0.09
49,26721,29.862475,77.894479,0.252,-0.015,0.946,0.17
50,27221,29.862475,77.894482,0.268,-0.031,0.941,0.09
51,27721,29.862475,77.894482,0.254,-0.005,0.951,0.35
52,28221,29.862476,77.894484,0.283,-0.025,0.945,0.09
53,28721,29.862476,77.894484,0.275,-0.032,0.943,0.09
54,29221,29.862476,77.894487,0.271,-0.023,0.95,0.09
55,29721,29.862476,77.894487,0.266,-0.02,0.948,0.17
56,30221,29.862476,77.89449,0.258,-0.008,0.949,-0.17
57,30721,29.862476,77.89449,0.26,-0.033,0.95,0
58,31221,29.862475,77.894492,0.239,0.033,0.939,-0.09
59,31721,29.862475,77.894492,0.246,0.004,0.956,0
60,32221,29.862474,77.894494,0.256,0.004,0.936,-0.17
61,32721,29.862474,77.894494,0.281,-0.031,1.021,0
62,33221,29.862474,77.894495,0.217,-0.251,0.966,0
63,33721,29.862474,77.894495,-0.004,0.038,0.967,0.43
64,34221,29.862473,77.894494,0.016,-0.574,0.885,0.17
65,34721,29.862473,77.894494,-0.027,-0.493,0.847,0.09
66,35221,29.862472,77.894495,0.041,-0.606,0.819,0.43
67,35721,29.862472,77.894495,0.081,-0.034,0.408,0.09
68,36221,29.862474,77.894491,0.106,-0.484,0.927,-0.09
69,36721,29.862474,77.894491,0.017,-0.4,0.631,0.52
70,37221,29.862476,77.89449,-0.029,-0.368,1.467,-0.09
71,37721,29.862476,77.89449,-0.199,0.215,0.885,0.26
72,38221,29.862478,77.894482,0.042,0.13,0.93,0.52
73,38721,29.862478,77.894482,-0.054,-0.06,0.893,0.09
74,39221,29.862479,77.89447,-0.01,-0.04,1.006,0.17
75,39721,29.862479,77.89447,0.003,0.066,0.997,-0.09
76,40221,29.862481,77.894451,-0.12,0.043,0.696,0.35
77,40721,29.862481,77.894451,0.043,0.027,1.109,0.17
78,41221,29.862481,77.894435,0.011,0.097,0.979,0.09
79,41721,29.862481,77.894435,0.041,0.071,0.931,0.43
80,42221,29.862474,77.894423,0.013,0.052,0.976,0.09
81,42721,29.862474,77.894423,0.045,0.018,0.85,0.69
82,43221,29.862476,77.894402,0.026,0.107,0.955,0.09
83,43721,29.862476,77.894402,-0.009,0.071,0.922,0.35
84,44221,29.862476,77.894388,-0.001,0.087,0.999,0.26
85,44721,29.862476,77.894388,0.046,0.078,0.959,0
86,45221,29.862482,77.894355,0.049,0.041,0.99,0.17
87,45721,29.862482,77.894355,0.047,0.057,1.125,0.61
88,46221,29.862488,77.89433,0.058,0.066,1.027,0.52
89,46721,29.862488,77.89433,0.026,0.064,0.873,0.17
90,47221,29.862489,77.894302,0.051,0.055,1.005,0.09
91,47721,29.862489,77.894302,0.048,0.002,1.014,0.43
92,48221,29.862485,77.894277,0.035,0.073,1.008,0
93,48721,29.862485,77.894277,0.075,-0.019,0.931,0.26
94,49221,29.862485,77.894249,0.063,0.018,0.976,0.35
95,49721,29.862485,77.894249,0.051,0.062,0.991,0.43
96,50221,29.862485,77.894221,0.104,0.087,1.381,0.35
97,50721,29.862485,77.894221,0.176,0,0.979,0.35
98,51221,29.862485,77.894191,0.143,0.069,1.61,0.78
99,51721,29.862485,77.894191,-0.108,-0.03,0.813,0.26
100,52221,29.862481,77.894162,0.125,0.004,0.767,0.35
101,52721,29.862481,77.894162,0.06,0.015,0.987,0.35
102,53221,29.862476,77.894131,0.067,-0.034,1.019,0.09
103,53721,29.862476,77.894131,0.048,0.036,1.099,0.09
104,54221,29.862475,77.8941,0.009,0.053,0.873,0.09
105,54721,29.862475,77.8941,0.091,0.021,0.981,0.43
106,55221,29.862474,77.894065,0.073,0.092,1.002,0.35
107,55721,29.862474,77.894065,0.009,0.116,0.865,0.52
108,56221,29.862476,77.894032,0.036,0.066,0.969,0.17
109,56721,29.862476,77.894032,0.078,0.078,0.969,0.35
110,57221,29.862479,77.893997,0.067,0.166,1.108,-0.09
111,57721,29.862479,77.893997,0.088,0.106,1.073,0.26
112,58221,29.86248,77.893966,0.061,0.063,0.904,0.26
113,58721,29.86248,77.893966,0.047,0.066,1.069,-0.09
114,59221,29.862498,77.89394,0.118,0.041,1.09,0.26
115,59721,29.862498,77.89394,0.008,-0.019,0.884,0.09
116,60221,29.862514,77.893915,0.089,0.023,0.906,0.69
117,60721,29.862514,77.893915,0.112,-0.022,0.95,0.17
118,61221,29.862539,77.893896,0.042,0.095,0.91,0.69
119,61721,29.862539,77.893896,0.02,0.105,0.905,0.17
120,62221,29.862563,77.893875,0.052,0.048,0.97,0.17
121,62721,29.862563,77.893875,0.04,0.102,1.026,0.09
122,63221,29.862592,77.893858,0,0.07,0.716,0
123,63721,29.862592,77.893858,0.041,0.066,1.004,0.52
124,64221,29.862622,77.893844,0.057,0.037,0.915,0
125,64721,29.862622,77.893844,0.097,0.019,0.971,0.69
126,65221,29.862648,77.893839,-0.008,0.085,0.898,0.17
127,65721,29.862648,77.893839,0.081,0.022,0.82,0.09
128,66221,29.862677,77.893833,0.059,0.004,0.777,0
129,66721,29.862677,77.893833,0.04,-0.026,0.857,-0.17
130,67221,29.862707,77.893823,0.028,0.017,1,0.09
131,67721,29.862707,77.893823,0.068,0.057,0.844,0.09
132,68221,29.862735,77.893817,0.093,0.053,1.159,0.69
133,68721,29.862735,77.893817,0.054,0.095,0.941,-0.26
134,69221,29.862764,77.893816,0.025,0.049,0.854,0.35
135,69721,29.862764,77.893816,0.051,0.042,0.957,-0.26
136,70221,29.862792,77.893815,0.08,0.037,0.916,-0.17
137,70721,29.862792,77.893815,0.053,0.109,0.996,-0.09
138,71221,29.862821,77.893815,0.102,-0.081,0.955,-0.26
139,71721,29.862821,77.893815,-0.018,-0.068,0.877,-0.09
140,72221,29.862851,77.89382,0.136,0.126,1.151,-0.87
141,72721,29.862851,77.89382,-0.07,0.059,0.535,0.35
142,73221,29.862879,77.893826,-0.021,0.05,0.807,-0.09
143,73721,29.862879,77.893826,0.093,0.094,0.926,0
144,74221,29.862908,77.893829,0.045,0.043,0.785,-0.26
145,74721,29.862908,77.893829,-0.043,0.14,0.931,-0.52
146,75221,29.862937,77.893831,0.187,0.125,1.157,-0.35
147,75721,29.862937,77.893831,0.055,0.083,1.043,-0.35
148,76221,29.862967,77.893832,0.062,0.079,0.957,-0.35
149,76721,29.862967,77.893832,0.071,0.05,0.926,-0.52
150,77221,29.862995,77.893836,0.026,0.066,1.053,0.09
151,77721,29.862995,77.893836,0.069,0.039,1.017,0.17
152,78221,29.863024,77.893836,0.15,0.043,1.079,0.35
153,78721,29.863024,77.893836,0.036,0.052,0.883,-0.17
154,79221,29.863051,77.893844,0.083,0.034,1.101,-0.61
155,79721,29.863051,77.893844,0.067,0.019,1.021,-0.69
156,80221,29.863081,77.893849,0.127,0.117,0.982,-0.61
157,80721,29.863081,77.893849,0.11,-0.017,0.984,-0.35
158,81221,29.863109,77.893861,0.132,0.03,1.01,-0.09
159,81721,29.863109,77.893861,0.137,0.061,1.175,-0.43
160,82221,29.86314,77.893864,0.098,0.015,0.99,-0.09
161,82721,29.86314,77.893864,0.095,-0.04,0.865,-0.61
162,83221,29.863169,77.893865,0.107,0.02,1.031,-0.43
163,83721,29.863169,77.893865,0.114,0.085,1.077,-0.61
164,84221,29.8632,77.893868,0.148,-0.004,1.177,-0.61
165,84721,29.8632,77.893868,0.103,0.016,0.985,-0.43
166,85221,29.86323,77.893872,0.147,-0.045,0.897,-0.87
167,85721,29.86323,77.893872,0.063,0.135,0.76,-0.26
168,86221,29.863261,77.893873,0.068,0.157,0.939,-0.69
169,86721,29.863261,77.893873,0.036,0.12,0.892,0
170,87221,29.863292,77.893879,0.025,-0.061,0.899,-0.52
171,87721,29.863292,77.893879,0.106,0.075,1.136,-0.17
172,88221,29.863322,77.893884,0.058,0.048,0.959,-0.52
173,88721,29.863322,77.893884,0.097,0.082,1.24,-0.87
174,89221,29.863351,77.893892,0.037,0.003,1.048,-0.61
175,89721,29.863351,77.893892,0.079,0.035,1.071,-1.04
176,90221,29.863382,77.893896,0.03,0.087,0.978,-0.61
177,90721,29.863382,77.893896,0.06,0.135,0.817,-0.61
178,91221,29.863415,77.893901,0.089,0.007,1.049,-0.26
179,91721,29.863415,77.893901,0.078,0.077,0.921,-0.78
180,92221,29.863448,77.893908,0.089,0.063,0.958,-1.04
181,92721,29.863448,77.893908,0.069,0.109,0.987,-1.3
182,93221,29.863479,77.893913,0.119,-0.016,1.156,-0.95
183,93721,29.863479,77.893913,0.07,0.026,0.737,-0.61
184,94221,29.863515,77.893919,0.109,0.125,0.899,-1.3
185,94721,29.863515,77.893919,0.133,0.071,0.97,-0.52
186,95221,29.863552,77.89392,0.087,0.113,0.886,-0.87
187,95721,29.863552,77.89392,0.063,0.081,1,-0.17
188,96221,29.86359,77.893924,0.124,0.024,1.082,-0.95
189,96721,29.86359,77.893924,0.056,0.178,1.092,-0.95
190,97221,29.863633,77.893926,0.06,0.073,0.955,-0.87
191,97721,29.863633,77.893926,0.012,0.017,0.938,-0.95
192,98221,29.863669,77.893931,0.095,0.132,1.06,-1.3
193,98721,29.863669,77.893931,0.081,0.083,0.82,-0.61
194,99221,29.863699,77.893938,0.031,0.034,0.725,-1.13
195,99721,29.863699,77.893938,0.044,0.019,0.866,-0.61
196,100221,29.863731,77.893946,-0.032,0.171,0.958,-1.3
197,100721,29.863731,77.893946,-0.03,0.126,1.155,-0.95
198,101221,29.863769,77.893958,0.03,0.131,1.003,-0.87
199,101721,29.863769,77.893958,0.03,0.058,1.031,-1.39
200,102221,29.863801,77.893967,0.048,0.02,0.909,-0.87
201,102721,29.863801,77.893967,0.043,0.054,0.876,-1.39
202,103221,29.863839,77.89397,-0.03,0.103,0.886,-1.04
203,103721,29.863839,77.89397,0.066,0.077,1.038,-1.21
204,104221,29.863879,77.893973,-0.037,0.042,0.951,-1.21
205,104721,29.863879,77.893973,0.001,0.049,0.829,-1.21
206,105221,29.86391,77.893977,0.068,0.019,1,-1.39
207,105721,29.86391,77.893977,0.048,0.102,1.02,-1.3
208,106221,29.863942,77.893983,0.05,0.031,0.906,-0.87
209,106721,29.863942,77.893983,0.004,-0.043,0.99,-1.39
210,107221,29.863977,77.893982,0.017,0.1,0.975,-1.56
211,107721,29.863977,77.893982,-0.044,0.177,1.159,-0.95
212,108221,29.86401,77.893977,0.076,0.093,1.139,-1.48
213,108721,29.86401,77.893977,-0.044,0.008,1.059,-0.78
214,109221,29.86404,77.893975,0.05,0.132,1.121,-1.56
215,109721,29.86404,77.893975,0.052,0.067,1.389,-1.21
216,110221,29.864067,77.893976,0.054,0.036,0.894,-1.48
217,110721,29.864067,77.893976,0.101,-0.042,0.875,-1.3
218,111221,29.864086,77.89398,0.059,0.056,1.014,-1.39
219,111721,29.864086,77.89398,0.064,0.124,1.117,-1.56
220,112221,29.864105,77.893981,-0.028,0.128,1.021,-0.87
221,112721,29.864105,77.893981,0.009,0.047,0.796,-1.13
222,113221,29.864122,77.893993,0.014,0.035,0.694,-1.04
223,113721,29.864122,77.893993,0.033,0.035,0.906,-1.39
224,114221,29.864134,77.894008,0.122,-0.109,0.667,-1.39
225,114721,29.864134,77.894008,0.023,-0.016,0.752,-1.3
226,115221,29.864146,77.894021,0.069,-0.024,0.83,-1.3
227,115721,29.864146,77.894021,0.087,0.141,1.069,-1.48
228,116221,29.864152,77.894034,0.044,0.099,0.906,-1.39
229,116721,29.864152,77.894034,0.066,0.013,0.963,-1.56
230,117221,29.864156,77.894062,0.066,0.134,1.093,-1.48
231,117721,29.864156,77.894062,0.044,-0.009,0.963,-0.95
232,118221,29.86416,77.894084,0.042,0.085,1.004,-1.04
233,118721,29.86416,77.894084,0.054,0.055,0.963,-1.48
234,119221,29.864159,77.894108,0.073,0.111,1.188,-1.56
235,119721,29.864159,77.894108,0.063,0.033,1.023,-1.04
236,120221,29.864154,77.894138,0.048,0.036,0.982,-1.13
237,120721,29.864154,77.894138,0.047,0.038,0.916,-0.69
238,121221,29.864152,77.894162,0.075,0.055,0.936,-1.13
239,121721,29.864152,77.894162,0.054,0.042,0.877,-1.13
240,122221,29.864149,77.894183,0.066,0.021,0.927,-0.95
241,122721,29.864149,77.894183,0.039,0.048,0.97,-1.3
242,123221,29.864142,77.89419,0.072,0.086,0.879,-1.48
243,123721,29.864142,77.89419,0.032,0.015,0.935,-1.21
244,124221,29.864142,77.894218,0.06,0.086,0.984,-1.3
245,124721,29.864142,77.894218,0.103,0.034,1.022,-1.13
246,125221,29.864145,77.894247,0.088,0.094,0.911,-1.04
247,125721,29.864145,77.894247,0.058,0.052,0.869,-1.48
248,126221,29.864149,77.89428,0.07,0.11,1.07,-1.3
249,126721,29.864149,77.89428,0.051,0.052,0.995,-1.04
250,127221,29.864148,77.894311,0.086,0.096,0.966,-1.39
251,127721,29.864148,77.894311,0.059,0.104,0.98,-1.21
252,128221,29.864148,77.894335,0.03,0.028,0.967,-1.13
253,128721,29.864148,77.894335,0.053,0.097,0.965,-1.48
254,129221,29.86414,77.894359,0.07,0.052,1,-1.39
255,129721,29.86414,77.894359,0.085,0.04,0.954,-1.21
256,130221,29.864132,77.894392,0.043,0.013,0.91,-1.21
257,130721,29.864132,77.894392,0.035,0.081,1.049,-1.48
258,131221,29.864132,77.894428,0.015,0.134,1.016,-1.48
259,131721,29.864132,77.894428,0.18,-0.08,0.558,-1.48
260,132221,29.864132,77.894467,0.127,0.023,0.804,-1.65
261,132721,29.864132,77.894467,0.071,0.086,0.938,-1.39
262,133221,29.864121,77.894502,-0.056,0.173,0.96,-1.13
263,133721,29.864121,77.894502,0.069,0.084,1.107,-0.87
264,134221,29.864113,77.894528,0.03,0.021,0.955,-1.13
265,134721,29.864113,77.894528,0.041,0.037,0.934,-0.87
266,135221,29.864107,77.894549,0.081,0.109,1.094,-1.21
267,135721,29.864107,77.894549,-0.039,0.041,0.915,-1.21
268,136221,29.8641,77.894572,0.045,0.067,0.873,-1.21
269,136721,29.8641,77.894572,0.069,0.075,0.76,-1.21
270,137221,29.864102,77.894603,0.002,0.019,0.881,-1.21
271,137721,29.864102,77.894603,0.019,0.08,0.958,-1.39
272,138221,29.86411,77.894632,0.021,0.096,1.068,-1.39
273,138721,29.86411,77.894632,0.049,0.035,0.822,-1.39
274,139221,29.864109,77.894661,0.063,0.061,0.975,-1.3
275,139721,29.864109,77.894661,0.072,0.04,1.025,-1.04
276,140221,29.864108,77.894703,0.086,0.013,0.978,-1.39
277,140721,29.864108,77.894703,0.156,0.053,0.926,-1.21
278,141221,29.86411,77.894745,0.066,0.183,1.211,-1.39
279,141721,29.86411,77.894745,0.228,0.249,1.429,-1.74
280,142221,29.864106,77.894791,0.011,0.076,0.6,-0.69
281,142721,29.864106,77.894791,0.023,0.142,0.9,-1.39
282,143221,29.864103,77.894826,0.01,0.029,1,-1.3
283,143721,29.864103,77.894826,0.077,0.106,1.106,-0.78
284,144221,29.8641,77.894866,0.008,0.091,0.954,-1.21
285,144722,29.8641,77.894866,0.04,0.056,0.917,-1.21
286,145222,29.864086,77.894902,0.039,0.097,1.009,-1.65
287,145721,29.864086,77.894902,0.034,0.019,1.082,-1.04
288,146221,29.864078,77.894939,0.103,0.062,1.146,-1.65
289,146721,29.864078,77.894939,0.079,0.033,0.984,-1.39
290,147221,29.86408,77.894972,0.029,0.064,0.969,-1.13
291,147721,29.86408,77.894972,0.083,0.027,1.012,-1.48
292,148221,29.864081,77.895002,0.049,0.04,1.03,-1.13
293,148721,29.864081,77.895002,0.048,0.081,0.922,-1.48
294,149221,29.864084,77.895041,0.094,0.061,0.927,-1.48
295,149721,29.864084,77.895041,0.047,0.054,0.934,-1.56
296,150221,29.864083,77.895075,0.102,0.093,1.078,-1.39
297,150721,29.864083,77.895075,-0.042,0.051,0.745,-1.48
298,151221,29.864085,77.895111,0.095,0.14,1.1,-1.74
