sequence_no,time,latitude,longitude,ax,ay,az,baro_alt
0,2220,0.0,0.0,-0.061,0.274,0.926,nan
1,2720,29.866815,77.89634,-0.063,0.272,0.931,nan
2,3220,29.866815,77.89634,-0.06,0.278,0.934,nan
3,3720,29.866815,77.896339,-0.063,0.276,0.918,nan
4,4220,29.866815,77.896339,-0.061,0.271,0.934,nan
5,4720,29.866815,77.896338,-0.06,0.268,0.932,nan
6,5220,29.866815,77.896338,-0.06,0.266,0.927,nan
7,5720,29.866816,77.896337,-0.063,0.267,0.936,nan
8,6220,29.866816,77.896337,-0.058,0.271,0.935,nan
9,6720,29.866816,77.896335,-0.058,0.271,0.935,nan
10,7220,29.866816,77.896335,-0.063,0.263,0.931,nan
11,7720,29.866819,77.896337,-0.061,0.272,0.934,nan
12,8220,29.866819,77.896337,-0.058,0.276,0.932,nan
13,8720,29.866824,77.896338,-0.063,0.253,0.927,nan
14,9220,29.866824,77.896338,-0.058,0.271,0.927,nan
15,9720,29.866824,77.896342,-0.048,0.276,0.928,nan
16,10220,29.866824,77.896342,-0.064,0.272,0.927,nan
17,10720,29.866825,77.896344,-0.059,0.268,0.936,nan
18,11220,29.866825,77.896344,-0.056,0.275,0.932,nan
19,11720,29.866822,77.896345,-0.066,0.272,0.934,nan
20,12220,29.866822,77.896345,-0.061,0.275,0.924,nan
21,12720,29.866818,77.896345,-0.064,0.271,0.937,nan
22,13220,29.866818,77.896345,-0.05,0.276,0.922,nan
23,13720,29.866818,77.896345,-0.237,0.339,0.845,nan
24,14220,29.866818,77.896345,-0.133,0.239,0.939,nan
25,14720,29.866821,77.896347,-0.277,0.154,1.045,nan
26,15220,29.866821,77.896347,-0.09,0.42,0.78,nan
27,15720,29.866824,77.896345,-0.117,0.484,1.068,nan
28,16220,29.866824,77.896345,-0.159,0.36,0.948,nan
29,16720,29.866826,77.896339,-0.08,0.26,0.817,nan
30,17220,29.866826,77.896339,-0.025,0.18,0.808,nan
31,17720,29.866827,77.896326,-0.12,0.307,1.042,nan
32,18220,29.866827,77.896326,-0.18,0.081,1.021,nan
33,18720,29.866821,77.896325,-0.165,0.086,0.977,nan
34,19220,29.866821,77.896325,-0.161,0.075,0.788,nan
35,19720,29.866822,77.896325,-0.005,0.24,0.893,nan
36,20220,29.866822,77.896325,-0.335,0.107,1.205,nan
37,20720,29.866822,77.896328,-0.223,0.092,0.939,nan
38,21220,29.866822,77.896328,-0.163,0.012,0.731,nan
39,21720,29.866824,77.89633,-0.122,0.094,0.642,nan
40,22220,29.866824,77.89633,-0.183,0.165,1.129,nan
41,22720,29.866829,77.896328,-0.139,0.059,0.867,nan
42,23220,29.866829,77.896328,-0.275,0.167,0.909,nan
43,23720,29.866837,77.896321,-0.214,0.042,0.908,nan
44,24220,29.866837,77.896321,-0.246,0.053,0.903,nan
45,24720,29.866836,77.896319,-0.36,0.09,0.948,nan
46,25220,29.866836,77.896319,-0.219,0.124,0.923,nan
47,25720,29.866839,77.896315,-0.205,0.031,0.921,nan
48,26220,29.866839,77.896315,-0.231,0.163,0.948,nan
49,26720,29.866842,77.896315,-0.228,0.128,0.914,nan
50,27220,29.866842,77.896315,-0.18,0.047,0.948,nan
51,27720,29.866842,77.896314,-0.318,0.065,0.849,nan
52,28220,29.866842,77.896314,-0.048,0.193,0.757,nan
53,28720,29.866843,77.896321,-0.258,0.074,0.938,nan
54,29220,29.866843,77.896321,-0.318,0.006,0.922,nan
55,29720,29.866848,77.896329,-0.183,0.074,0.8,nan
56,30220,29.866848,77.896329,-0.127,0.097,0.62,nan
57,30720,29.866855,77.896339,-0.223,0.041,0.839,nan
58,31220,29.866855,77.896339,-0.245,0.255,1.027,nan
59,31720,29.866862,77.896349,-0.164,0.045,0.885,nan
60,32220,29.866862,77.896349,-0.229,0.289,1.177,nan
61,32720,29.866869,77.896357,-0.367,-0.028,1.124,nan
62,33220,29.866869,77.896357,-0.32,-0.025,0.952,nan
63,33720,29.866878,77.896364,-0.299,0.051,0.863,nan
64,34220,29.866878,77.896364,-0.217,0.0,0.79,nan
65,34720,29.866893,77.896366,-0.165,0.067,0.629,nan
66,35220,29.866893,77.896366,-0.284,0.079,0.854,nan
67,35720,29.866902,77.896376,-0.256,0.245,0.959,nan
68,36220,29.866902,77.896376,-0.077,0.234,0.929,nan
69,36720,29.866905,77.896389,-0.273,0.22,0.906,nan
70,37220,29.866905,77.896389,-0.168,0.249,1.127,nan
71,37720,29.866909,77.896402,-0.38,0.027,1.123,nan
72,38220,29.866909,77.896402,-0.331,0.004,1.061,nan
73,38720,29.866913,77.896416,-0.313,-0.036,0.97,nan
74,39220,29.866913,77.896416,-0.313,0.042,1.023,nan
75,39720,29.866917,77.896425,-0.242,0.036,0.873,nan
76,40220,29.866917,77.896425,-0.167,0.091,0.719,nan
77,40720,29.86692,77.896432,-0.182,0.01,0.578,nan
78,41220,29.86692,77.896432,-0.221,0.038,0.685,nan
79,41720,29.866933,77.896432,-0.222,0.029,0.741,nan
80,42220,29.866933,77.896432,-0.294,0.374,0.988,nan
81,42720,29.866933,77.896439,-0.178,-0.044,0.876,nan
82,43220,29.866933,77.896439,-0.354,0.105,1.19,nan
83,43720,29.866939,77.896446,-0.364,0.098,1.035,nan
84,44220,29.866939,77.896446,-0.148,0.044,0.838,nan
85,44720,29.866942,77.896457,-0.321,0.104,0.831,nan
86,45220,29.866942,77.896457,-0.218,0.135,0.782,nan
87,45720,29.866949,77.896471,-0.243,0.133,0.698,nan
88,46220,29.866949,77.896471,-0.174,0.2,0.824,nan
89,46720,29.866966,77.89647,-0.225,0.161,0.763,nan
90,47220,29.866966,77.89647,-0.141,0.218,0.91,nan
91,47720,29.866976,77.896474,-0.323,0.223,1.008,nan
92,48220,29.866976,77.896474,-0.196,0.04,0.91,nan
93,48720,29.866982,77.896478,-0.312,0.231,1.097,nan
94,49220,29.866982,77.896478,-0.439,-0.071,1.005,nan
95,49720,29.86699,77.896482,-0.299,0.175,1.002,nan
96,50220,29.86699,77.896482,-0.311,0.215,1.071,nan
97,50720,29.867001,77.896487,-0.286,0.026,0.968,nan
98,51220,29.867001,77.896487,-0.267,0.096,0.969,nan
99,51720,29.86701,77.896492,-0.245,-0.006,0.873,nan
100,52220,29.86701,77.896492,-0.271,0.036,0.809,nan
101,52720,29.867017,77.896495,-0.24,-0.014,0.796,nan
102,53220,29.867017,77.896495,-0.221,0.034,0.635,nan
103,53720,29.867029,77.896495,-0.276,0.081,0.719,nan
104,54220,29.867029,77.896495,-0.184,0.111,0.669,nan
105,54720,29.867036,77.896496,-0.125,0.181,0.806,nan
106,55220,29.867036,77.896496,-0.227,0.154,0.815,nan
107,55720,29.867047,77.896497,-0.176,0.107,0.961,nan
108,56220,29.867047,77.896497,-0.323,0.211,1.049,nan
109,56720,29.867058,77.896497,-0.19,-0.004,0.922,nan
110,57220,29.867058,77.896497,-0.337,0.142,1.071,nan
111,57720,29.86707,77.896494,-0.198,0.103,1.013,nan
112,58220,29.86707,77.896494,-0.296,0.24,1.013,nan
113,58720,29.867079,77.896496,-0.154,0.208,1.157,nan
114,59220,29.867079,77.896496,-0.363,0.116,1.293,nan
115,59720,29.867093,77.896498,-0.248,0.123,1.133,nan
116,60220,29.867093,77.896498,-0.353,0.11,1.019,nan
117,60720,29.867105,77.8965,-0.237,0.178,1.152,nan
118,61220,29.867105,77.8965,-0.256,0.075,1.096,nan
119,61720,29.867113,77.896502,-0.246,0.135,1.048,nan
120,62220,29.867113,77.896502,-0.278,0.038,0.957,nan
121,62720,29.867123,77.896502,-0.278,0.015,0.927,nan
122,63220,29.867123,77.896502,-0.272,-0.02,0.772,nan
123,63720,29.867131,77.896502,-0.231,0.063,0.694,nan
124,64220,29.867131,77.896502,-0.219,0.035,0.711,nan
125,64720,29.867143,77.896504,-0.217,0.124,0.701,nan
126,65220,29.867143,77.896504,-0.248,0.039,0.836,nan
127,65720,29.867153,77.896504,-0.243,0.135,0.853,nan
128,66220,29.867153,77.896504,-0.203,0.093,0.948,nan
129,66720,29.867157,77.896502,-0.275,0.239,1.004,nan
130,67220,29.867157,77.896502,-0.201,0.166,1.186,nan
131,67720,29.867165,77.896501,-0.34,0.095,1.172,nan
132,68220,29.867165,77.896501,-0.356,0.028,1.072,nan
133,68720,29.867175,77.896505,-0.307,0.079,1.062,nan
