sequence_no,time,latitude,longitude,ax,ay,az,baro_alt
2,3221,29.86242,77.894446,0.792,0.081,0.63,0.26
3,3721,29.86242,77.894446,0.778,0.091,0.624,-0.17
4,4221,29.862423,77.894446,0.765,0.111,0.631,0
5,4721,29.862423,77.894446,0.779,0.088,0.626,-0.35
6,5221,29.862423,77.894447,0.778,0.081,0.629,-0.17
7,5721,29.862423,77.894447,0.771,0.092,0.649,-0.35
8,6221,29.862424,77.894448,0.756,0.184,0.573,0
9,6721,29.862424,77.894448,0.791,-0.081,0.646,-0.43
10,7221,29.862425,77.89445,0.715,-0.203,0.779,0.35
11,7721,29.862425,77.89445,0.718,-0.078,0.67,0
12,8221,29.862426,77.894453,0.697,0.124,0.773,0.35
13,8721,29.862426,77.894453,0.519,-0.2,0.749,0.61
14,9221,29.86243,77.894458,0.469,-0.43,0.762,0.52
15,9721,29.86243,77.894458,0.89,-0.253,2,-1.47
16,10221,29.862429,77.894455,0.494,-0.278,0.848,0.43
17,10721,29.862429,77.894455,0.548,-0.218,0.782,0.17
18,11221,29.862433,77.894454,0.605,-0.052,0.875,0.26
19,11721,29.862433,77.894454,0.464,0.323,0.714,0.61
20,12221,29.862435,77.894446,0.704,0.176,1.21,1.12
21,12721,29.862435,77.894446,0.304,0.118,0.521,1.82
22,13221,29.862443,77.894433,0.551,-0.024,1.081,2.42
23,13721,29.862443,77.894433,0.306,0.149,0.899,-0.35
24,14221,29.862447,77.894415,0.524,-0.091,0.793,0
25,14721,29.862447,77.894415,0.613,0.03,0.822,-0.26
26,15221,29.862453,77.894389,0.668,0.203,0.719,-0.43
27,15721,29.862453,77.894389,0.577,0.176,0.754,-0.17
28,16221,29.862464,77.894365,0.614,0.183,0.723,-0.09
29,16721,29.862464,77.894365,0.585,0.098,0.792,0.17
30,17221,29.862472,77.894339,0.636,0.242,0.751,-0.26
31,17721,29.862472,77.894339,0.565,0.168,0.702,-0.17
32,18221,29.862486,77.894314,0.685,0.081,0.816,-0.17
33,18721,29.862486,77.894314,0.671,0.179,0.81,-0.26
34,19221,29.862491,77.894299,0.653,0.24,0.748,-0.17
35,19721,29.862491,77.894299,0.596,0.147,0.745,0.43
36,20221,29.862503,77.894275,0.609,0.162,0.724,-0.17
37,20721,29.862503,77.894275,0.56,0.03,0.655,0.35
38,21221,29.862512,77.894247,0.635,0.089,0.698,-0.17
39,21721,29.862512,77.894247,0.632,0.12,0.746,0.17
40,22221,29.862516,77.894215,0.457,0.094,0.463,0.17
41,22721,29.862516,77.894215,0.637,0.069,0.49,0
42,23221,29.862531,77.894184,0.692,0.234,0.789,1.21
43,23721,29.862531,77.894184,1.201,0.366,1.368,-0.43
44,24221,29.862543,77.894153,0.701,0.191,0.801,0.52
45,24721,29.862543,77.894153,0.606,0.142,0.769,0.43
46,25221,29.862546,77.89412,0.651,0.226,0.815,0.69
47,25721,29.862546,77.89412,0.609,0.171,0.781,0.69
48,26221,29.862555,77.894089,0.592,0.15,0.714,0.61
