sequence_no,time,latitude,longitude,ax,ay,az,baro_alt
0,2220,0.0,0.0,0.003,-0.018,0.971,-0.35
1,2719,0.0,0.0,0.006,-0.028,0.971,-0.78
2,3219,29.863559,77.896035,0.013,-0.02,1.009,-0.61
3,3719,29.863559,77.896035,0.006,-0.002,0.985,-0.95
4,4219,29.863563,77.896033,0.021,0.002,0.976,-0.78
5,4719,29.863563,77.896033,0.008,-0.012,0.959,-0.87
6,5219,29.863568,77.896032,-0.056,0.04,0.953,-0.09
7,5719,29.863568,77.896032,-0.11,0.062,0.991,-1.21
8,6219,29.86357,77.896031,-0.21,0.07,0.932,0.0
9,6719,29.86357,77.896031,-0.009,-0.075,0.967,-0.95
10,7219,29.863574,77.896031,-0.087,0.052,1.139,-0.09
11,7719,29.863574,77.896031,0.021,0.023,0.955,-1.04
12,8219,29.863574,77.896033,0.129,0.085,0.981,0.95
13,8719,29.863574,77.896033,-0.077,0.155,0.94,2.17
14,9219,29.863572,77.896029,-0.288,0.042,0.973,1.65
15,9719,29.863572,77.896029,-0.316,-0.05,0.828,0.52
16,10219,29.86357,77.896027,-0.52,-0.221,0.712,0.09
17,10719,29.86357,77.896027,-0.19,-0.163,0.992,0.09
18,11219,29.863571,77.896029,-0.309,-0.158,0.804,-0.61
19,11719,29.863571,77.896029,-0.365,-0.069,1.121,-0.61
20,12219,29.863571,77.896029,-0.081,-0.161,0.902,-0.61
21,12719,29.863571,77.896029,-0.016,-0.185,0.891,-0.61
22,13219,29.863568,77.89603,-0.127,-0.042,1.006,-0.52
23,13719,29.863568,77.89603,0.02,-0.118,0.931,-0.09
24,14219,29.863566,77.896031,-0.085,-0.197,1.012,-0.61
25,14719,29.863566,77.896031,0.124,-0.101,0.971,-0.26
26,15219,29.863565,77.896034,0.003,-0.062,0.996,-0.69
27,15719,29.863565,77.896034,-0.111,-0.155,0.974,-0.78
28,16219,29.86357,77.896032,0.052,-0.166,0.935,-0.61
